tx_acc1	taux_acces	taille_equi	secteur_equi	tx_form	part_form	tx_courses	heurstag	h_stag	tx_tpf	TPF	tx_c5a	tx_c5b	tx_c5c	tx_c5d	tx_c5e	tx_c5f	tx_c5g	tx_c5h	tx_c5i	tx_c5autr	tx_c5j	tx_c5k	tx_c5l	tx_d3a	tx_d3b	tx_d3c	tx_d3d	tx_d3e	tx_d3f	tx_d3g	tx_d3h	tx_d3i	tx_d3autr	secteur	secteur_ensemble	Info_secteur	taille
39.6	0.396	0	0	30.2	0.302	28.3	28.3	0.283	2.8	0.028	6.1	7.3	11.2	7	8.9	2.5	9.7	2.8	51.2	0	0	0	0	30.9	34.5	18.4	12	25.3	11.4	18.5	40.8	54.6	0	Ensemble	1	Ensemble	Ensemble
44.6	0.446	0	1	61.2	0.612	59.3	18	0.18	2.1	0.021	1.1	2.1	4.9	1.8	2.2	1.6	3.2	0	86.4	19.4	0	1.2	20.1	22	12.9	5.4	48.7	10.7	1	4	57	71.8	0.5	Industries extractives	0	Extraction de houille et de lignite. Extraction d'hydrocarbures. Extraction de minerais métalliques. Autres industries extractives. Services de soutien aux industries extractives	Ensemble
44.9	0.449	0	2	26.1	0.261	19.9	18.6	0.186	2.7	0.027	1.4	3.2	23.2	4.7	4.9	2.3	18.4	1.7	76.9	17.1	0.3	0	17.1	23.1	40.5	32	12.3	18.7	8.8	30.1	28	37.4	2.7	Industries alimentaire	0	Industries alimentaires. Fabrications de boissons. Fabrication de produits à base de tabac	Ensemble
32.9	0.329	0	3	28.3	0.283	26.1	23.1	0.231	2.2	0.022	0.5	8.1	23.2	3.9	7.6	1.5	7.3	5.7	54.9	35.8	0.2	1.2	37.6	22.7	21.4	26.8	33.4	30.3	6.8	21.9	46.4	59.5	10.5	Fabrication de textiles	0	Fabrication de textiles. Industrie de l'habillement. Industrie du cuir et de la chaussure	Ensemble
35.6	0.356	0	4	34	0.34	29.8	23.2	0.232	2.5	0.025	5.2	5.1	18.7	2.2	26.2	5.4	14.8	8.2	57.2	23.6	0	0	26.6	31.7	27	22.1	22.4	31.4	10.6	16.5	36.8	58.4	3.6	Industrie du papier et du carton	0	Industrie du papier et du carton.  Imprimerie et reproduction d'enregistrements	Ensemble
59.2	0.592	0	5	51.4	0.514	47.4	18.4	0.184	3	0.03	3	2.8	18.3	4.7	6	5.3	10.4	6.4	62.2	47.9	0.9	0	48.9	25.7	25.1	17.5	26.4	25	6.4	21.6	54.4	69.6	10.7	Cockefaction et raffinage	0	Cockefaction et raffinage. Industrie chimique et pharmaceutique. Fabrication de produits en caoutchouc et en plastique. Fabrication d'autres produits minéraux non métalliques	Ensemble
38.8	0.388	0	6	48.2	0.482	47	23.7	0.237	2.3	0.023	5	6.6	9.9	8	6.9	2.8	12.6	3	66	28.4	0.4	0	28.4	41.9	37.1	25.8	23.5	36.7	13.9	22.6	46.7	53.5	8	Métallurgie	0	Métallurgie. Fabrication de produits métalliques. à l'exception des machines et des équipements	Ensemble
63.6	0.636	0	7	47.8	0.478	43.8	14.2	0.142	2.4	0.024	15	5.9	14.1	4.4	6.6	2.9	15.6	9.2	64.2	21.1	0.1	0	22.1	33.2	31.1	22.8	29.6	33.4	13.7	27.9	48.4	61.7	15.6	Fabrication de produits informatiques	0	Fabrication de produits informatiques. électroniques et optiques. d'équipements électriques.  machines et équipements n.c.a.. Réparation et installation de machines et d'équipements	Ensemble
69.4	0.694	0	8	56.5	0.565	52.6	17.3	0.173	3.7	0.037	4.2	3	22.7	6.2	4.9	6.9	6.8	12.6	70.7	33.6	1	0	34	34.4	29.2	22.1	15.4	33	15.1	16.3	38.5	70.3	11.1	Industrie automobile	0	Industrie automobile. Fabrication d'autres matériels de transport	Ensemble
32.4	0.324	0	9	30.2	0.302	28.7	43.8	0.438	2.8	0.028	2.6	2.5	10.6	2	2.2	1.8	5.1	1	77.3	36.5	1.5	0.8	36.5	19.1	39.1	15.7	29.4	31.9	10.9	12	35	28.2	3.3	Fabrication de meubles	0	"Fabrication de meubles. Autres industries manufacturières. Travail du bois et fabrication d'articles en bois et en liège. à l'exception des meubles ; fabrication d'articles en vannerie et sparterie"	Ensemble
47.2	0.472	0	10	39.6	0.396	37.4	33.5	0.335	5.9	0.059	7.2	3.1	11.8	4.5	1.8	2.1	7.6	3.3	85.3	24.4	1.7	5.8	25.8	29.9	19.3	21.5	15	20.1	3.2	15.7	38.6	60.9	5.6	Production et distribution d'électricité	0	"Production et distribution d'électricité. de gaz. de vapeur et d'air conditionné. Captage. traitement et distribution d'eau. Collecte et traitement des eaux usées. Collecte. traitement et élimination des déchets ; récupération. Dépollution et autres services de gestion des déchets"	Ensemble
27.3	0.273	0	11	27.2	0.272	25.6	55	0.55	2.7	0.027	3.6	2.3	6.5	6	4	0.8	12.9	0.4	60.7	21.4	0.2	0.1	25.8	28.9	23.9	21.4	10.5	20.2	16.6	16.4	43.6	41.7	4.6	Construction	0	Construction de bâtiments. Génie civil. Travaux de construction spécialisés	Ensemble
25.7	0.257	0	12	29.8	0.298	29.1	24.3	0.243	2	0.02	4.9	4.1	5.9	3.8	10.9	1.1	6.4	0.9	67.7	9	1	0	11.2	34.4	26.1	16.1	2.5	20.9	15.7	7.5	34.8	52.5	5.3	Commerce et réparation d'automobiles	0	Commerce et réparation d'automobiles et de motocycles	Ensemble
34.4	0.344	0	13	34.9	0.349	32.9	28.7	0.287	2.8	0.028	11.2	15.5	10	2.2	22.1	1.6	9.7	9	45.6	26.2	1.1	0.1	26.8	30.6	34.4	18.4	9	27.6	14.9	14.8	36.7	61.1	19.5	Commerce de gros	0	Commerce de gros. à l'exception des automobiles et des motocycles	Ensemble
34.8	0.348	0	14	24.8	0.248	23.3	27.1	0.271	2.3	0.023	3	4	10.2	7.2	23.1	0.8	5.1	1.5	50.8	11.4	0.3	0.1	11.6	35.5	28.9	19.3	13.1	22.4	21.5	19.3	36.5	51.5	4.7	Commerce de détail	0	Commerce de détail. à l'exception des automobiles et des motocycles	Ensemble
47.5	0.475	0	15	49.7	0.497	47.5	27	0.27	2.6	0.026	1.4	1.3	6.7	11.9	1.7	2.5	4.4	1.1	70.9	35.7	2	0.4	36.4	37.9	38.4	12.9	13.3	29.8	3.6	18.9	40.5	48.5	11.8	Transports	0	Transports terrestres et transport par conduites. par eau. aériens. Entreposage et services auxiliaires des transports. Activités de poste et de courrier	Ensemble
18.6	0.186	0	16	19.3	0.193	15.7	24.8	0.248	1.8	0.018	17.8	0.3	28.5	19.6	5.3	2.5	7.9	2.4	32.8	30.4	9.3	0	30.4	27.6	31	13.2	11.5	24.5	16.4	14.6	30.8	56.6	3	Hébergement. Restauration	0	Hébergement. Restauration	Ensemble
46.3	0.463	0	17	32.3	0.323	27.9	32.2	0.322	2.4	0.024	24.7	39.3	20.7	6.6	11.6	4.2	7.9	7.6	40.8	10.2	8.5	0.6	10.2	36.8	32.5	15.9	14.4	27.2	10.2	15.7	36.2	40.6	3.7	Edition. Production de films cinématographiques	0	"Edition. Production de films cinématographiques. de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale. Programmation et diffusion. Télécommunications. Programmation. conseil et autres activités informatiques. Services d'information"	Ensemble
78.7	0.787	0	18	22.2	0.222	21.8	24.2	0.242	4.2	0.042	4.4	10.7	18.3	7	15	6.1	16.3	12.3	45.5	23.4	1.2	0	24	39.3	26.5	14.4	9.3	14	7.6	6.8	36.3	64.6	8.6	Activités des services financiers	0	Activités des services financiers. hors assurance et caisses de retraite. Assurance	Ensemble
59.7	0.597	0	19	43.1	0.431	42.8	23	0.23	3.4	0.034	8.3	2.4	5.9	2.9	28.4	4.2	3.8	3	72.9	11.3	0.8	0	11.3	43.3	41.8	21	15	25.2	6.7	33.7	45.8	45.2	4.6	Activités auxiliaires de services financiers et d'assurance	0	Activités auxiliaires de services financiers et d'assurance	Ensemble
26.1	0.261	0	20	34.1	0.341	32.3	62.6	0.626	2.9	0.029	20.3	13.9	8.2	13.5	3.8	6.7	16.2	1.1	38.9	32.6	10.4	1.2	34.6	29.1	31.3	17.8	15.5	24.5	2.8	15	51.6	58.5	16.2	Activités des organisations associatives	0	Activités des organisations associatives	Ensemble
