"tx_acc1","tx_form","tx_courses","heurstag","tx_tpf","secteur_ensemble","secteur","taille","NAME_FREN","iso3_code"
39.6,30.2,28.3,28,2.8,1,"Ensemble des secteurs","Ensemble","Autriche","AUT"
44.6,61.2,59.3,18,2.1,0,"Industries extractives","Ensemble","Autriche","AUT"
44.9,26.1,19.9,19,2.7,0,"Industries alimentaire","Ensemble","Autriche","AUT"
32.9,28.3,26.1,23,2.2,0,"Fabrication de textiles","Ensemble","Autriche","AUT"
35.6,34,29.8,23,2.5,0,"Industrie du papier et du carton","Ensemble","Autriche","AUT"
59.2,51.4,47.4,18,3,0,"Cockefaction et raffinage","Ensemble","Autriche","AUT"
38.8,48.2,47,24,2.3,0,"Métallurgie","Ensemble","Autriche","AUT"
63.6,47.8,43.8,14,2.4,0,"Fabrication de produits informatiques","Ensemble","Autriche","AUT"
69.4,56.5,52.6,17,3.7,0,"Industrie automobile","Ensemble","Autriche","AUT"
32.4,30.2,28.7,44,2.8,0,"Fabrication de meubles","Ensemble","Autriche","AUT"
47.2,39.6,37.4,34,5.9,0,"Production et distribution d'électricité","Ensemble","Autriche","AUT"
27.3,27.2,25.6,55,2.7,0,"Construction","Ensemble","Autriche","AUT"
25.7,29.8,29.1,24,2,0,"Commerce et réparation d'automobiles","Ensemble","Autriche","AUT"
34.4,34.9,32.9,29,2.8,0,"Commerce de gros","Ensemble","Autriche","AUT"
34.8,24.8,23.3,27,2.3,0,"Commerce de détail","Ensemble","Autriche","AUT"
47.5,49.7,47.5,27,2.6,0,"Transports","Ensemble","Autriche","AUT"
18.6,19.3,15.7,25,1.8,0,"Hébergement, Restauration","Ensemble","Autriche","AUT"
46.3,32.3,27.9,32,2.4,0,"Edition, Production de films cinématographiques","Ensemble","Autriche","AUT"
78.7,22.2,21.8,24,4.2,0,"Activités des services financiers","Ensemble","Autriche","AUT"
59.7,43.1,42.8,23,3.4,0,"Activités auxiliaires de services financiers et d'assurance","Ensemble","Autriche","AUT"
26.1,34.1,32.3,63,2.9,0,"Activités des organisations associatives","Ensemble","Autriche","AUT"
37,23.1,22.1,32,2.3,0,"Activités immobilières","Ensemble","Autriche","AUT"
46.8,42.2,40.9,31,2.9,0,"Activités juridiques et comptables","Ensemble","Autriche","AUT"
33.1,34.4,32.9,25,2.6,0,"Activités de location","Ensemble","Autriche","AUT"
20.8,30.3,28.8,87,6.9,0,"Activités créatives, artistiques et de spectacle","Ensemble","Autriche","AUT"
14.3,19,17.7,31,1.5,0,"Agriculture, sylviculture et pêche","Ensemble","Autriche","AUT"
30.7,45,40.6,20,2.4,0,"Enseignement","Ensemble","Autriche","AUT"
41.1,33.1,31.7,27,3,0,"Administration publique et santé","Ensemble","Autriche","AUT"
13.8,19,18.8,100,2.8,1,"Ensemble des secteurs","1 à 3","Autriche","AUT"
75,100,100,9,2,0,"Industries extractives","1 à 3","Autriche","AUT"
0,0,0,26,0.6,0,"Industries alimentaire","1 à 3","Autriche","AUT"
0,0,0,69,0.7,0,"Fabrication de textiles","1 à 3","Autriche","AUT"
0,0,0,74,1,0,"Industrie du papier et du carton","1 à 3","Autriche","AUT"
0,0,0,49,0.6,0,"Cockefaction et raffinage","1 à 3","Autriche","AUT"
8.3,9.3,9.3,12,0.6,0,"Métallurgie","1 à 3","Autriche","AUT"
10.4,20.2,20.2,16,0.8,0,"Fabrication de produits informatiques","1 à 3","Autriche","AUT"
0,0,0,16,0.7,0,"Industrie automobile","1 à 3","Autriche","AUT"
14.3,11.3,11.3,25,1,0,"Fabrication de meubles","1 à 3","Autriche","AUT"
0,0,0,25,0.6,0,"Production et distribution d'électricité","1 à 3","Autriche","AUT"
